Timestamp,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,word_label
12.266989946365356,-17,2,1,16,9,20,23,1,-9,8,-3,-14,-11,-5,please
12.282999038696287,-18,-8,-12,9,0,24,34,0,4,12,-23,-14,-8,-6,please
12.282999038696287,-18,-18,-15,-12,-13,7,22,0,11,11,-34,-16,-13,-11,please
12.299112319946287,0,-9,-6,-8,-17,-11,11,1,16,15,-2,0,5,1,please
12.299112319946287,32,2,21,7,-10,-14,4,10,20,14,36,43,38,31,please
12.314650774002075,47,9,33,13,-6,-9,1,14,23,6,40,65,45,45,please
12.314650774002075,36,11,15,10,-10,-23,-7,2,11,-7,29,47,29,28,please
12.330678701400757,27,16,28,6,-13,-27,-26,-5,-23,-24,26,38,18,9,please
12.330678701400757,20,28,39,25,0,-1,-29,-8,-32,-17,30,39,14,1,please
12.346060752868652,2,21,11,40,15,2,-25,-10,-13,-4,29,21,4,-3,please
12.346060752868652,-3,2,3,25,12,-5,-23,0,-11,-5,9,3,-7,0,please
12.36158537864685,-9,-2,5,12,5,10,-4,-2,-9,5,-16,-10,-12,-2,please
12.36158537864685,-33,-19,-30,-9,1,14,12,-16,3,16,-30,-38,-24,-20,please
12.37701678276062,-39,-36,-51,-43,-7,-5,5,0,10,-4,-34,-44,-30,-22,please
12.37701678276062,-21,-21,-25,-41,-10,-10,-4,13,10,-23,-20,-22,-15,-13,please
12.39305305480957,-13,-3,-15,-28,-8,-11,-3,0,4,-16,-1,-17,-5,-18,please
12.39305305480957,-14,-8,-16,-39,-16,-14,0,-4,-7,-12,-7,-26,-20,-22,please
12.408679485321043,-4,-3,2,-19,-9,5,8,1,-10,-8,-31,-27,-30,-16,sil
12.408679485321043,1,3,5,16,7,27,27,2,0,7,-32,-24,-17,-6,sil
12.424062252044678,-2,-9,-7,1,1,19,33,3,6,12,-14,-14,0,4,sil
12.424062252044678,2,-14,-20,-23,-6,1,21,7,7,6,-8,-4,11,15,sil
12.43938374519348,17,2,-12,-14,0,-15,-8,10,4,-6,-6,4,15,17,sil
12.43938374519348,23,25,15,1,7,-23,-34,6,0,-15,14,26,21,14,sil
12.455432176589966,25,36,25,21,11,-14,-28,-5,-1,3,39,35,26,15,sil
12.455432176589966,17,25,20,27,17,-2,-20,-10,-18,6,29,16,12,5,sil
12.47114396095276,-2,3,14,19,15,4,-17,-11,-28,-14,2,-5,-5,-15,sil
12.47114396095276,-7,4,8,27,17,18,2,-20,-19,-7,1,-13,-11,-18,sil
12.486835718154907,0,12,14,31,23,29,19,-16,-16,7,10,-4,-11,-5,sil
12.486835718154907,-10,0,4,19,11,23,19,0,-8,9,7,-3,-8,-1,sil
12.50221347808838,-22,-12,-8,10,0,18,26,13,17,31,8,-5,2,0,sil
12.50221347808838,-12,-5,3,6,2,26,34,19,36,48,13,4,13,8,sil
12.518803119659424,-2,-8,5,0,-1,20,22,14,34,26,10,14,17,15,sil
12.518803119659424,-3,-14,-7,-3,-13,-5,7,7,28,6,1,12,10,9,sil
12.534265279769896,0,-14,-12,-14,-19,-22,2,13,21,2,-13,6,0,8,sil
12.534265279769896,6,-20,-13,-36,-25,-20,-6,14,4,-18,-27,5,-7,8,sil
12.549510478973389,5,-19,-16,-39,-24,-14,-4,8,1,-22,-20,6,0,6,sil
12.549510478973389,13,-5,-4,-14,-13,-13,4,10,14,-1,-2,11,9,14,sil
12.565668106079102,24,2,10,-4,-9,-20,-13,2,6,-4,2,20,11,16,sil
12.565668106079102,18,3,-1,-10,-12,-25,-39,-16,-15,-19,4,20,8,0,sil
12.580745220184326,4,7,-5,-11,-3,-14,-41,-20,-20,-18,11,9,5,-12,sil
12.580745220184326,4,16,10,1,6,-3,-28,-18,-14,-18,15,2,0,-10,sil
12.596747636795044,8,22,15,23,9,-8,-13,-20,-19,-15,10,-1,-4,-11,sil
12.596747636795044,-1,19,13,28,11,-6,-4,-16,-24,-1,0,-14,-11,-14,sil
12.611841440200806,-21,4,-1,13,6,2,4,-10,-14,0,-11,-32,-20,-18,sil
12.628086566925049,-35,-10,-20,-2,1,3,8,0,-8,-7,-22,-41,-30,-25,sil
12.628086566925049,-33,-14,-17,-1,11,15,12,9,-2,5,-18,-32,-19,-21,sil
12.628086566925049,-13,-12,-17,5,17,27,24,9,17,28,-4,-19,3,0,sil
12.643158435821531,0,-9,-3,0,3,14,26,11,21,16,-10,-7,0,14,sil
12.659096240997314,0,-2,3,-1,-3,4,21,14,16,4,-11,-4,-4,8,sil
12.659096240997314,6,0,-9,-2,2,0,9,3,17,19,10,5,18,5,sil
12.675076246261597,24,7,12,-17,-1,-8,-16,4,-5,5,22,37,22,18,sil
12.675076246261597,18,14,30,-18,-9,-1,-24,1,-28,-22,16,38,2,10,sil
12.675076246261597,-1,14,2,0,3,3,-17,-23,-25,-19,12,3,-7,-14,sil
12.689733266830444,1,18,11,13,15,-6,-18,-19,-28,-12,12,-1,-9,-15,sil
12.705746412277222,8,18,36,26,13,3,-2,2,-23,-16,11,9,-8,1,sil
12.705746412277222,-1,1,8,30,10,25,23,4,6,1,0,-1,-7,7,sil
12.72116756439209,-8,-14,-15,13,4,24,29,8,19,23,-18,-15,-9,11,sil
12.72116756439209,-14,-24,-13,-6,-6,8,27,15,9,15,-25,-17,-5,7,sil
12.72116756439209,-18,-30,-27,-9,-14,-2,22,2,15,3,-20,-22,0,-6,sil
12.737828731536863,-7,-19,-24,-12,-15,-10,0,0,25,3,-11,-6,6,-2,sil
12.752869606018066,5,-1,-4,-20,-13,-12,-13,8,24,5,5,19,24,11,sil
12.752869606018066,11,-1,-4,-11,-12,-11,-6,3,22,7,19,26,35,13,sil
12.768792629241943,19,0,2,0,-8,-14,-5,-2,12,3,21,26,27,10,sil
12.768792629241943,29,15,14,0,-9,-23,-15,-1,-4,-6,19,26,15,4,sil
12.768792629241943,25,22,7,0,-6,-20,-20,-1,-15,-15,12,11,3,-6,sil
12.784037351608276,5,20,11,3,9,0,-17,-5,-18,-14,4,0,-6,-14,sil
12.798993110656738,-5,14,17,14,17,9,-10,-8,-14,-10,-3,-10,-14,-11,sil
12.798993110656738,-9,2,11,11,8,12,-4,0,-4,-2,-20,-20,-19,-7,sil
12.814095735549929,-17,-13,-8,0,7,15,12,9,10,15,-24,-23,-12,-6,sil
12.814095735549929,-22,-27,-22,-9,6,12,20,8,17,21,-19,-14,-5,0,sil
12.82935667037964,-17,-22,-5,-9,0,14,16,5,13,9,-17,-5,-4,10,sil
12.82935667037964,-10,-9,-9,-5,0,12,15,1,11,14,-14,-12,0,4,sil
12.845179796218872,-5,-7,-25,-13,-3,-12,0,-5,-1,3,-10,-15,0,-7,sil
12.845179796218872,0,-3,-9,-17,-7,-21,-16,-11,-19,-19,0,0,0,-5,sil
12.860790729522703,8,7,5,0,-3,-9,-11,-10,-13,-11,22,16,9,0,sil
12.860790729522703,12,9,4,1,-7,-12,-19,-6,-13,-3,26,17,5,-4,sil
12.87668490409851,7,9,0,0,-7,-20,-25,-9,-23,-17,20,11,-2,-9,sil
12.87668490409851,3,20,12,11,7,-7,-15,-11,-20,-14,26,15,-4,-1,sil
12.892367839813232,6,25,30,16,12,7,-6,-7,-18,-8,22,15,-17,4,sil
12.892367839813232,0,13,10,12,0,3,3,-6,-21,-8,5,-5,-23,2,sil
12.907586812973022,-9,1,-7,9,1,0,17,0,-12,-4,-9,-21,-18,0,sil
12.907586812973022,-15,-6,-1,8,11,20,23,14,0,2,-22,-18,-20,-4,sil
12.923197031021118,-16,-16,-8,6,9,33,25,9,14,14,-20,-15,-10,-5,sil
12.923197031021118,-4,-12,-12,5,4,18,24,9,38,28,-5,-8,15,4,sil
12.938660144805908,7,0,2,3,4,5,23,22,52,34,0,3,32,21,sil
12.938660144805908,3,-6,0,-4,-1,0,13,13,37,27,0,2,31,17,sil
12.954159021377563,7,-20,-11,-16,-11,-3,-1,1,14,7,-5,3,23,5,sil
12.954159021377563,23,-14,4,-14,-11,-3,-8,5,8,-12,-2,16,15,5,sil
12.969839811325071,19,-2,14,-1,-4,-9,-9,0,1,-19,12,18,10,3,sil
12.969839811325071,6,3,4,-2,-3,-17,-12,-3,-8,-17,22,14,11,0,sil
12.984793663024902,12,14,13,-8,-2,-10,-11,0,-12,-14,19,23,14,0,sil
12.984793663024902,17,21,18,4,0,-8,-7,-8,-11,-8,6,14,2,-1,sil
13.000736236572266,0,16,4,13,-1,-8,-15,-13,-20,-7,-10,-11,-19,-11,sil
13.000736236572266,-20,3,0,3,0,5,-15,-8,-27,-7,-14,-19,-27,-18,sil
13.016276597976685,-25,-9,-11,1,5,18,0,-7,-13,0,-14,-20,-24,-19,sil
13.016276597976685,-20,-8,-16,8,5,12,6,-5,0,6,-25,-22,-22,-11,sil
13.032042980194092,-12,0,-7,6,0,5,6,0,1,9,-21,-11,-6,2,sil
13.032042980194092,-7,-3,-8,-8,-6,-1,6,1,3,13,-3,3,10,13,sil
13.04769206047058,-9,-13,-15,-24,-14,-6,-5,3,2,13,-4,2,8,7,sil
13.04769206047058,-3,-9,-15,-17,-7,-6,-11,1,2,10,-7,-1,0,-2,sil
13.062900066375732,10,6,-5,-4,6,-11,-5,0,8,-1,4,9,6,1,sil
13.062900066375732,12,7,-2,-3,6,-22,-5,0,7,-11,19,17,17,8,sil
13.078672885894775,3,-5,-6,-13,-1,-21,-14,-3,-11,-19,17,3,5,-2,sil
13.078672885894775,0,-3,-1,-22,0,-8,-15,-9,-26,-36,0,-5,-18,-18,sil
13.094197750091553,3,9,3,-8,5,2,0,-3,-18,-36,-11,-9,-28,-17,sil
13.094197750091553,4,9,15,18,7,9,7,9,-4,-5,1,-6,-18,-8,sil
13.109760046005247,4,11,25,32,11,13,12,11,1,22,16,2,0,-2,sil
13.109760046005247,-2,11,8,24,11,20,21,2,4,22,10,-3,9,4,sil
13.124938488006592,-11,-4,-4,13,5,31,22,3,5,9,-1,-18,-3,10,sil
13.124938488006592,-5,-11,0,12,0,26,21,11,16,18,-5,-20,-4,15,sil
13.140186548233032,-2,-5,0,6,0,7,22,7,25,28,-3,-14,12,18,sil
13.140186548233032,-9,-13,-9,-4,-6,0,17,-1,25,17,-2,-7,9,7,sil
13.156073331832886,-8,-19,-16,-6,-20,-2,1,0,21,4,-4,-2,-5,-2,sil
13.156073331832886,0,-3,0,-9,-15,-6,-16,5,12,1,-7,6,0,1,sil
13.17177939414978,12,4,6,-3,2,-8,-13,1,14,13,9,21,23,5,sil
13.187419891357422,22,3,0,1,5,-17,0,-2,11,9,32,32,31,4,sil
13.187419891357422,14,12,15,-1,-3,-17,-11,-6,-17,-20,22,29,12,2,sil
13.187419891357422,1,15,19,5,0,-2,-23,-22,-30,-23,9,17,0,-5,sil
13.20307230949402,1,7,8,11,3,-7,-18,-23,-19,-10,15,18,1,-9,sil
13.20307230949402,9,11,14,9,-2,-13,-9,0,-19,-18,12,21,3,0,sil
13.21899437904358,14,12,17,20,0,10,5,6,-13,-4,-4,11,0,11,sil
13.21899437904358,14,-2,9,20,2,21,21,7,10,29,-11,0,6,25,sil
13.235063076019289,7,-17,1,-6,-15,-8,11,12,16,17,-2,3,15,25,sil
13.235063076019289,4,-12,-9,-22,-23,-28,-12,0,-2,-19,3,12,11,3,sil
13.250342845916748,3,2,-8,-15,-5,-17,-18,-7,-13,-23,0,12,-2,-10,sil
13.250342845916748,-5,9,2,-11,5,0,-13,3,-7,-9,-9,1,-11,-15,sil
13.26453137397766,-13,1,-10,-11,3,3,-15,0,-5,-5,-10,-15,-15,-27,sil
13.28004240989685,-14,-1,-28,-17,6,0,-20,-8,-22,-18,-19,-29,-28,-32,sil
13.28004240989685,-25,0,-21,-25,13,1,-15,-7,-35,-34,-32,-39,-37,-26,sil
13.29560160636902,-32,0,-25,-10,16,10,5,-5,-13,-18,-34,-50,-33,-22,sil
13.29560160636902,-25,0,-25,0,16,17,19,7,5,2,-33,-52,-30,-17,sil
13.311695337295532,-21,0,-9,-6,14,22,25,13,5,4,-33,-43,-30,-19,sil
13.311695337295532,-21,-7,-11,-9,11,21,33,6,14,7,-27,-36,-21,-10,sil
13.329705953598022,-15,-12,-5,-3,9,10,25,4,17,17,-12,-24,-6,3,sil
13.329705953598022,-3,-12,3,2,4,11,18,5,16,39,12,-11,9,9,sil
13.343076467514038,7,-11,4,4,0,14,18,7,24,50,20,5,19,18,sil
13.343076467514038,11,-9,7,0,-7,0,1,2,25,23,11,16,18,26,sil
13.359073400497437,9,-11,-1,0,-15,-15,-19,-10,20,1,17,11,21,20,sil
13.359073400497437,16,-6,1,1,-18,-16,-15,-6,17,12,30,21,32,19,sil
13.37408447265625,29,6,19,12,-11,-8,6,6,26,24,36,44,44,29,sil
13.37408447265625,24,5,16,19,-8,-8,5,0,17,7,36,42,39,27,sil
13.390135049819946,9,0,16,4,-18,-15,-20,-5,-19,-24,21,35,16,6,sil
13.390135049819946,11,10,12,6,-20,-17,-15,-3,-33,-25,11,40,5,-6,sil
13.405657529830933,21,17,14,17,-3,-11,6,1,-13,-9,22,46,14,6,sil
13.405657529830933,23,12,30,11,0,-4,-2,11,-5,-13,25,46,13,14,sil
13.421053886413574,20,12,21,18,-9,-9,-19,-1,-13,-19,12,26,0,-1,sil
13.421053886413574,18,19,14,27,0,-9,-14,-18,-28,-21,-3,7,-12,-9,sil
13.43710160255432,11,24,24,14,13,9,1,-3,-28,-18,-6,1,-14,-1,sil
13.43710160255432,-4,20,7,7,17,17,8,6,0,1,4,-6,-5,-4,sil
13.453108072280884,-15,6,-13,8,20,3,-1,-4,9,12,1,-20,-3,-15,sil
13.453108072280884,-13,4,-5,4,22,4,-9,-5,-3,-3,-10,-20,-14,-14,sil
13.4689302444458,-18,9,-5,4,17,14,0,0,-7,-13,-9,-21,-23,-11,sil
13.4689302444458,-32,-4,-26,-4,8,12,10,-1,-5,-10,-23,-39,-27,-19,sil
13.484069347381592,-39,-34,-35,-31,0,7,9,0,1,0,-49,-53,-27,-23,sil
13.484069347381592,-35,-44,-40,-43,-6,-3,9,9,25,20,-43,-45,-18,-12,sil
13.499680042266846,-22,-33,-41,-42,-14,-20,-2,10,36,24,-17,-25,0,0,sil
13.499680042266846,-2,-15,-21,-34,-13,-22,-19,1,20,2,-1,-4,13,2,sil
13.514896392822266,12,0,-4,-11,-4,-14,-9,-4,5,-1,2,4,8,-4,sil
13.514896392822266,14,8,7,-2,0,-1,0,-9,-16,-5,0,1,-12,-14,sil
13.53090763092041,8,11,20,-5,0,11,-9,-16,-39,-26,-4,-3,-20,-15,sil
13.53090763092041,3,6,14,6,2,14,-12,-16,-39,-28,-15,-5,-9,-3,sil
13.546096563339232,-1,0,11,13,3,16,0,-4,-26,1,-22,-4,-5,9,sil
13.546096563339232,0,0,13,17,3,36,26,11,2,27,-9,0,0,22,sil
13.561683177947998,12,1,13,19,4,36,36,15,26,22,4,6,8,31,sil
13.561683177947998,18,0,15,10,1,6,11,5,15,18,9,16,18,31,sil
13.576847314834597,8,-3,2,3,-1,-15,-4,2,1,27,17,16,28,25,sil
13.576847314834597,-3,-8,-10,-2,-5,-12,3,13,13,18,19,5,24,12,sil
13.59294605255127,-2,-15,-16,-17,-12,-10,10,18,31,0,13,0,10,-1,sil
13.59294605255127,2,-16,-13,-21,-13,-18,5,14,30,0,9,8,9,-2,sil
13.60871171951294,6,-4,-1,-2,0,-16,1,7,24,9,18,23,15,3,sil
13.60871171951294,8,8,4,13,5,-10,-4,-2,17,8,34,30,16,2,sil
13.623786926269531,1,8,2,5,-5,-14,-24,-10,-1,-14,22,20,5,-11,sil
13.623786926269531,-4,9,-1,-3,-8,-6,-23,-3,-9,-31,-8,-1,-10,-24,sil
13.639681577682495,0,18,0,3,11,8,5,4,0,-6,-1,-2,-4,-10,sil
13.639681577682495,4,20,9,12,11,7,12,-1,-7,3,15,10,5,1,sil
13.654948472976685,-2,13,3,12,-7,-9,-5,-16,-27,-21,-3,-2,-12,-16,sil
13.654948472976685,-18,8,1,10,-7,-14,-12,-19,-29,-24,-16,-15,-26,-23,sil
13.67096209526062,-11,5,9,10,2,-5,-10,-12,-17,-2,2,-3,-6,0,sil
13.67096209526062,12,11,14,6,2,-5,-12,-7,-16,-10,10,3,2,9,sil
13.686673641204834,16,15,15,5,2,-7,-7,-6,-22,-20,1,0,-8,-1,sil
13.686673641204834,0,0,3,7,0,1,-1,-1,-9,0,-2,-4,-5,-2,sil
13.702059507369995,-8,-11,-6,3,0,10,-1,3,2,6,-12,-11,0,1,sil
13.702059507369995,0,1,3,8,12,14,11,5,4,-4,-12,-6,0,3,sil
13.717673063278198,12,9,13,16,19,15,17,10,8,7,-1,4,2,15,sil
13.717673063278198,6,-8,1,3,3,9,2,5,3,15,-13,0,0,9,sil
13.733743906021118,-14,-22,-18,-10,-6,6,0,-8,-9,0,-26,-22,-20,-15,sil
13.733743906021118,-17,-13,-20,-19,0,13,7,-4,-10,1,-14,-23,-25,-15,sil
13.749689102172852,-10,-12,-16,-27,0,14,4,5,-2,13,-14,-10,-13,2,sil
13.749689102172852,-12,-27,-18,-27,-7,8,1,0,1,9,-21,-15,-12,0,sil
13.765137434005736,-11,-23,-4,-20,-5,4,0,0,10,3,-5,-14,-7,-2,sil
13.765137434005736,3,-3,3,-10,0,2,0,13,29,18,7,5,14,7,sil
13.780686616897585,17,3,8,4,8,-2,8,13,34,30,13,25,33,17,sil
13.780686616897585,23,7,17,9,13,-3,9,2,26,18,28,28,36,22,sil
13.796745777130129,8,5,0,-6,1,-6,0,-5,16,-5,19,8,22,8,sil
13.796745777130129,-21,-11,-30,-24,-8,-14,-5,-1,4,-14,-12,-15,2,-12,sil
13.812325477600098,-17,-15,-22,-16,-1,-14,1,13,5,3,-8,-5,4,-2,sil
13.812325477600098,13,3,1,1,0,-14,-3,12,8,5,22,20,19,12,sil
13.827526330947876,14,14,1,1,-8,-15,-16,-1,0,-15,23,20,13,0,sil
13.827526330947876,-2,9,-1,0,0,-5,-13,-1,-7,-21,0,6,-5,-8,sil
13.842493772506714,-3,6,13,15,3,1,-1,1,-12,-19,-5,3,-15,-2,sil
13.842493772506714,6,10,18,25,-4,-2,3,-10,-20,-23,10,2,-11,-7,sil
13.858200550079346,9,20,14,14,-8,-3,-2,-19,-26,-15,17,4,-9,-12,sil
13.858200550079346,9,26,27,14,-10,-1,-5,-13,-18,0,10,11,-10,0,sil
13.874201536178589,11,23,29,29,-14,-1,-1,0,-14,2,4,6,-9,8,sil
13.874201536178589,10,16,16,32,-7,4,-5,3,-21,0,-2,-5,-6,0,sil
13.890261888504028,8,9,6,33,-8,8,-10,-8,-12,8,0,-6,2,-3,sil
13.890261888504028,3,0,6,24,-28,0,-10,-20,-3,13,4,0,2,6,sil
13.906076908111572,-12,-11,-3,-2,-20,1,-9,-16,-19,-1,-15,-14,-16,-5,sil
13.906076908111572,-30,-25,-31,-22,17,5,-1,-6,-25,-8,-36,-40,-26,-25,sil
17.812711477279663,0,7,11,16,-7,4,-3,-9,-6,8,10,11,1,12,please
17.827754497528076,1,0,3,13,0,12,-4,-11,-9,3,-1,-1,-14,-2,please
17.827754497528076,-4,-2,-13,-2,-4,5,-5,-6,-12,1,-6,-5,-20,-7,please
17.84376859664917,-19,-2,-6,-9,-17,5,3,10,-16,-1,-5,-1,-13,-5,please
17.84376859664917,-15,-6,-3,9,-4,14,24,14,5,11,2,-3,2,0,please
17.84376859664917,-4,-6,-6,2,2,13,23,15,14,10,-5,-3,4,4,please
17.859568119049072,-8,-6,-12,-16,-10,0,9,15,1,-3,-19,-10,-3,-6,please
17.860567808151245,-20,-22,-27,-20,-13,-6,11,0,0,-1,-19,-25,-9,-16,please
17.874666213989258,-22,-36,-24,-40,-13,0,12,1,0,1,-18,-23,-16,-9,please
17.88968777656555,-13,-23,-12,-43,-16,4,5,11,7,9,-10,-6,-5,-1,please
17.88968777656555,-2,-4,-13,-8,0,6,4,3,20,14,0,-2,5,0,please
17.90574288368225,-2,-5,-13,0,5,5,-1,-2,8,-5,-22,-14,-8,0,please
17.90574288368225,0,-7,-1,-20,-7,-12,-19,-2,-9,-20,-31,-17,-15,0,please
17.921825647354126,13,2,-2,-14,-2,-25,-29,-13,-5,-9,-2,-7,4,-2,please
17.921825647354126,11,1,-9,-6,8,-16,-28,-17,-9,-9,0,-7,7,-7,please
17.937942028045654,-1,-8,-10,-20,1,-10,-20,-10,-15,-12,-12,-9,-1,-4,please
17.937942028045654,3,-3,-17,-18,-1,-17,-6,-1,4,0,0,0,12,3,please
17.953035593032837,21,21,4,5,8,-16,-5,6,8,3,12,7,19,7,please
17.953035593032837,27,36,42,31,23,0,-1,2,0,2,12,5,9,8,please
17.968400955200195,15,24,30,33,24,18,19,0,5,17,20,9,12,15,please
17.968400955200195,-1,2,11,14,10,18,26,7,8,17,14,11,9,11,please
17.98402762413025,-7,-7,0,12,4,11,19,1,10,11,3,-6,-1,0,please
17.98402762413025,-2,-12,-10,14,1,8,8,-7,21,9,4,-8,0,3,please
17.99986743927002,8,-8,15,-2,-12,7,-3,8,15,0,16,29,12,17,please
17.99986743927002,13,0,27,-11,-17,-3,-10,6,0,-5,34,49,17,5,please
18.01496696472168,0,3,2,-2,-9,-21,-25,-18,-18,-17,33,33,7,-16,please
18.01496696472168,2,12,11,7,-5,-20,-32,-12,-32,-32,26,33,1,-8,please
18.030540943145752,18,27,36,24,2,-2,-9,4,-26,-18,34,40,7,3,please
18.030540943145752,5,22,25,32,13,10,7,0,-19,-1,19,13,-3,-12,please
18.046318531036377,-14,0,1,22,9,14,12,-2,-14,-8,-13,-17,-26,-20,please
18.046318531036377,-14,-13,-7,4,-7,6,17,4,-2,-6,-17,-16,-20,-4,please
18.06169605255127,-9,-2,-6,1,-11,-2,17,3,2,15,-10,-7,-5,3,please
18.06169605255127,-5,18,2,24,8,3,13,-1,0,19,-11,-10,-7,3,please
18.07684779167176,-4,13,-4,24,16,19,13,0,5,3,-13,-19,-10,4,please
18.07684779167176,-16,-13,-31,-17,-5,12,4,7,19,3,-27,-27,-5,0,please
18.09843707084656,-16,-20,-31,-36,-15,-5,-5,2,19,4,-33,-27,-2,0,please
18.09843707084656,0,-10,-15,-18,-4,-2,4,-2,13,3,-20,-19,-1,10,please
18.09843707084656,0,-12,-22,-21,-1,9,16,4,13,12,-22,-21,-2,5,please
18.10745906829834,-15,-24,-27,-41,-8,5,0,3,0,5,-37,-26,-11,-8,please
18.122610807418823,-18,-28,-23,-41,-5,-5,-17,-1,-9,-6,-31,-21,-12,-10,please
18.122610807418823,-5,-14,-15,-18,3,-6,-10,5,9,7,-5,-7,2,-3,please
18.138272047042847,15,3,0,0,4,-5,-4,10,28,17,9,7,16,5,please
18.138272047042847,24,4,21,-2,-6,-13,-14,9,16,0,15,21,19,17,please
18.15390586853028,10,0,19,-5,-8,-14,-10,2,7,-1,24,22,19,10,please
18.15390586853028,0,0,-7,2,-2,-6,0,-11,-2,-1,13,2,2,-6,please
18.169813871383667,6,0,0,-3,-2,-9,-10,-8,-32,-22,-7,1,-17,-12,please
18.169813871383667,9,12,21,2,6,-6,-13,-3,-32,-11,8,14,-3,-10,please
18.185250520706177,2,23,11,31,22,4,2,-13,-15,4,22,8,3,-7,please
18.185250520706177,-2,12,12,24,15,6,2,-5,-24,-17,0,0,-19,-3,please
18.201043128967285,-2,1,9,2,0,0,0,0,-14,-12,5,2,-8,0,sil
18.201043128967285,2,8,-6,10,0,-3,8,-11,10,12,30,2,19,0,sil
18.21605634689331,3,13,8,20,0,3,10,0,2,1,11,0,4,0,sil
18.21605634689331,-9,1,11,13,-7,13,12,14,0,0,-14,-2,-9,5,sil
18.23209929466248,-11,-15,-15,-2,-11,9,10,1,18,17,-8,-3,5,12,sil
18.23209929466248,4,-20,-16,-15,-5,-3,5,0,23,11,6,5,23,11,sil
18.2481107711792,5,-9,4,-17,-1,-10,-3,0,6,-3,10,13,24,0,sil
18.2481107711792,2,4,6,-13,-1,-9,-16,-5,-7,-11,12,15,14,-2,sil
18.26410222053528,10,9,1,-5,2,-2,-18,-3,-10,-12,16,15,0,0,sil
18.26410222053528,10,12,17,6,9,5,-10,0,-10,-13,9,10,-10,-5,sil
18.28014612197876,10,23,27,23,9,9,-1,0,-13,-16,0,3,-12,-5,sil
18.28014612197876,13,20,19,31,11,11,6,4,-12,-10,-3,1,-12,4,sil
18.2958664894104,5,11,17,28,14,15,16,3,0,7,-9,-1,-14,6,sil
18.2958664894104,-8,8,4,20,5,16,20,0,17,15,-18,-17,-9,2,sil
18.31096053123474,-16,-7,-16,0,-3,11,14,0,16,8,-24,-24,-6,0,sil
18.31096053123474,-17,-28,-23,-14,-1,6,13,6,11,15,-22,-17,-7,-1,sil
18.326752185821533,-10,-19,-18,-1,0,3,12,17,29,34,-6,-11,0,2,sil
18.326752185821533,-9,-10,-12,0,-8,-2,1,17,32,31,0,-8,4,5,sil
18.341917037963867,-10,-24,-18,-26,-14,-14,-8,0,9,9,-5,-3,7,0,sil
18.341917037963867,0,-24,-13,-43,-8,-20,-10,-4,0,-1,2,11,14,0,sil
18.35737156867981,9,-11,-4,-31,-9,-18,-9,0,3,-4,16,20,15,3,sil
18.37305951118469,-1,-13,-14,-26,-26,-22,-22,-8,-8,-16,6,3,2,-9,sil
18.37305951118469,-15,-12,-23,-35,-26,-27,-31,-16,-26,-27,-8,-11,-8,-25,sil
18.37305951118469,-11,5,-11,-15,-1,-16,-11,-13,-25,-19,-6,-12,-13,-23,sil
18.38844490051269,-4,18,6,14,8,0,-6,-12,-25,-19,-3,-16,-24,-17,sil
18.38844490051269,0,19,10,18,3,5,-15,-12,-28,-26,-5,-16,-24,-12,sil
18.404253244400024,10,21,16,21,9,11,3,-2,-17,-10,-1,1,-6,5,sil
18.404253244400024,6,17,24,31,16,21,27,9,1,14,-7,2,0,19,sil
